Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km)
Gayithri Nagar,77922.0,77120.0,52814.0,44397.0,43591.0,31052.0,0.99,0.685,0.841,0.982,12526.0,0.287,0.39899999999999997,3714235.0,6.33,114.27,211782.0
Vijayanagara Krishnadevaraya,79830.0,79216.0,51953.0,45187.0,44220.0,30360.0,0.992,0.6559999999999999,0.87,0.9790000000000001,13851.0,0.313,0.38,4021673.0,7.41,127.94,235209.0
Kammagondanahalli,88813.0,88177.0,63366.0,44948.0,44183.0,30124.0,0.993,0.7190000000000001,0.7090000000000001,0.983,14051.0,0.318,0.33899999999999997,4642293.0,8.44,144.22,274443.0
Veerabhadranagar,83820.0,83214.0,58885.0,46701.0,45797.0,29394.0,0.993,0.708,0.7929999999999999,0.981,16390.0,0.358,0.35100000000000003,3313096.0,6.11,109.13,186855.0
Bharathi Nagar,113705.0,113062.0,92076.0,52147.0,51610.0,28677.0,0.9940000000000001,0.8140000000000001,0.5660000000000001,0.99,22911.0,0.444,0.252,3577300.0,6.35,116.49,197970.0
Yelachenahalli,92064.0,91284.0,68402.0,48782.0,47953.0,28465.0,0.992,0.7490000000000001,0.713,0.983,19475.0,0.406,0.309,3543903.0,6.32,115.22,199914.0
Deen Dayalu Ward,86800.0,86185.0,60896.0,45429.0,44423.0,28289.0,0.993,0.7070000000000001,0.746,0.978,16127.0,0.363,0.326,3487579.0,7.42,131.25,198272.0
Kadugondanahalli,94784.0,94377.0,71903.0,46635.0,45936.0,28083.0,0.996,0.762,0.649,0.985,17837.0,0.38799999999999996,0.29600000000000004,3474646.0,6.17,113.46,193981.0
Sagayarapuram,98658.0,98158.0,79329.0,46502.0,46108.0,28010.0,0.995,0.8079999999999999,0.586,0.992,18086.0,0.392,0.284,3270499.0,5.85,108.3,178616.0
Chanakya,96377.0,95232.0,57457.0,46149.0,44733.0,27699.0,0.988,0.603,0.8029999999999999,0.9690000000000001,17027.0,0.381,0.287,3852559.0,7.52,136.38,221877.0
Shivanagara,64174.0,63577.0,43741.0,38676.0,37977.0,27691.0,0.991,0.688,0.884,0.982,10269.0,0.27,0.431,3383414.0,6.63,117.86,193984.0
Mahalakshimpuram,65516.0,64850.0,44936.0,39445.0,38745.0,27477.0,0.99,0.693,0.878,0.982,11250.0,0.29,0.419,3370934.0,6.53,116.34,193461.0
Basaveshwara Nagar,58527.0,57844.0,40053.0,36905.0,36131.0,27146.0,0.988,0.6920000000000001,0.9209999999999999,0.9790000000000001,8976.0,0.248,0.46399999999999997,3350801.0,7.74,132.38,194172.0
Vidyamanyanagar,75939.0,75319.0,48394.0,40083.0,38827.0,26581.0,0.992,0.643,0.828,0.9690000000000001,12238.0,0.315,0.35,4253108.0,8.98,151.45,255355.0
Peenya,91034.0,90256.0,62590.0,46109.0,45149.0,26421.0,0.992,0.693,0.737,0.9790000000000001,18711.0,0.414,0.29,3543467.0,7.85,138.3,206158.0
Chowdeswari Ward,90118.0,88903.0,60275.0,42773.0,41720.0,26194.0,0.987,0.6779999999999999,0.71,0.975,15518.0,0.37200000000000005,0.29100000000000004,5313533.0,11.42,193.13,322290.0
Govindaraja Nagar,56479.0,55909.0,37517.0,34726.0,33936.0,25734.0,0.99,0.6709999999999999,0.9259999999999999,0.977,8195.0,0.24100000000000002,0.456,3303480.0,6.92,122.15,192036.0
Maruthi Mandir ward,59573.0,59060.0,39759.0,36081.0,35073.0,25648.0,0.991,0.6729999999999999,0.9079999999999999,0.972,9417.0,0.26899999999999996,0.43,3353990.0,7.65,133.05,194119.0
Kamakshipalya,57410.0,56844.0,38391.0,35243.0,34658.0,25365.0,0.99,0.675,0.9179999999999999,0.983,9284.0,0.268,0.442,3263544.0,6.98,124.77,189598.0
Avalahalli,67045.0,66451.0,46911.0,38773.0,37890.0,24789.0,0.991,0.706,0.8270000000000001,0.977,13090.0,0.345,0.37,3315008.0,7.5,132.55,189999.0
Banashankari Temple ward,85840.0,85171.0,60417.0,42008.0,41326.0,24423.0,0.992,0.7090000000000001,0.695,0.9840000000000001,16888.0,0.409,0.284,2598862.0,5.61,103.27,141898.0
Kadugodi,114762.0,113298.0,84957.0,40959.0,40210.0,24200.0,0.987,0.75,0.48200000000000004,0.982,16001.0,0.39799999999999996,0.21100000000000002,4537344.0,8.91,155.22,267519.0
Bagalakunte,80540.0,80086.0,53963.0,37043.0,36470.0,23104.0,0.9940000000000001,0.674,0.687,0.985,13344.0,0.366,0.287,3001387.0,6.12,112.39,173032.0
Hosahalli,55891.0,55379.0,38890.0,33599.0,32751.0,22777.0,0.991,0.7020000000000001,0.8640000000000001,0.975,9970.0,0.304,0.408,2891049.0,6.7,118.29,167216.0
Shankar Matt,53607.0,53055.0,36312.0,32452.0,31755.0,22594.0,0.99,0.684,0.894,0.9790000000000001,9155.0,0.28800000000000003,0.42100000000000004,2747829.0,6.5,114.19,158582.0
Nelagadderanahalli,70269.0,69751.0,52684.0,33633.0,33005.0,20820.0,0.993,0.755,0.638,0.981,12173.0,0.369,0.29600000000000004,2789659.0,7.24,125.97,162660.0
Dodda Bidarakallu,75747.0,75035.0,49346.0,34318.0,33515.0,20643.0,0.991,0.6579999999999999,0.695,0.977,12864.0,0.384,0.273,3325375.0,8.39,144.62,198915.0
