Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km)
BTM Layout,592216.0,586375.0,486876.0,231084.0,225865.0,131673.0,0.99,0.83,0.475,0.977,94148.0,0.41700000000000004,0.222,17159245.0,6.85,126.39,944612.0
AECS Layout,676398.0,671200.0,554146.0,225651.0,222152.0,131372.0,0.992,0.826,0.40700000000000003,0.9840000000000001,90735.0,0.408,0.19399999999999998,21664546.0,7.79,141.87,1221715.0
Banasavadi,399496.0,396889.0,320276.0,196872.0,193129.0,129571.0,0.9940000000000001,0.807,0.615,0.981,63520.0,0.32899999999999996,0.324,18119313.0,7.33,131.58,1027738.0
Hennur,415505.0,412861.0,318728.0,206331.0,202957.0,129335.0,0.9940000000000001,0.772,0.647,0.9840000000000001,73580.0,0.363,0.311,18050307.0,7.26,130.63,1026125.0
N S Palya,467723.0,462917.0,382404.0,202109.0,197602.0,128229.0,0.99,0.826,0.528,0.978,69328.0,0.35100000000000003,0.27399999999999997,16804588.0,7.29,131.77,932215.0
Dodda Nekkundi,607388.0,602318.0,496200.0,214444.0,210757.0,127586.0,0.992,0.8240000000000001,0.43200000000000005,0.983,83119.0,0.39399999999999996,0.21,21582457.0,8.44,148.42,1235186.0
Jnana Bharathi,319314.0,316723.0,227074.0,186083.0,182666.0,125721.0,0.992,0.7170000000000001,0.82,0.982,56904.0,0.311,0.39399999999999996,16382506.0,7.13,124.87,947899.0
Sarakki,340594.0,337939.0,269400.0,193160.0,188967.0,125071.0,0.992,0.797,0.7170000000000001,0.978,63821.0,0.33799999999999997,0.36700000000000005,14915086.0,6.07,111.14,813727.0
Subramanyapura,355850.0,352874.0,269420.0,186568.0,182249.0,124196.0,0.992,0.764,0.693,0.977,58020.0,0.318,0.349,17248916.0,7.97,139.95,998378.0
Pulikeshinagar,372621.0,370303.0,305602.0,186689.0,184193.0,122558.0,0.9940000000000001,0.825,0.611,0.987,61553.0,0.33399999999999996,0.32899999999999996,14606750.0,5.85,110.85,795966.0
Kalkere,474310.0,471110.0,380594.0,195394.0,192404.0,121528.0,0.993,0.8079999999999999,0.513,0.985,70832.0,0.368,0.256,19739152.0,8.75,154.38,1134101.0
Ibluru,529396.0,524454.0,451357.0,196173.0,192428.0,120717.0,0.991,0.861,0.435,0.981,71676.0,0.373,0.228,18702426.0,8.26,146.46,1052691.0
Kalena Agrahara,470987.0,465367.0,374447.0,189087.0,185254.0,120613.0,0.988,0.805,0.505,0.98,64607.0,0.349,0.256,20590403.0,9.98,172.89,1198826.0
Vishveshwara Puram,387229.0,384832.0,294439.0,190086.0,186643.0,120170.0,0.9940000000000001,0.765,0.6459999999999999,0.982,66426.0,0.35600000000000004,0.31,14185350.0,6.65,120.04,795860.0
Rajarajeshwari Nagar,297997.0,295464.0,208838.0,174366.0,170354.0,119567.0,0.992,0.7070000000000001,0.835,0.977,50761.0,0.298,0.401,17302405.0,7.97,137.66,1013757.0
Hulimavu,399563.0,395970.0,317072.0,186245.0,182318.0,119094.0,0.991,0.8009999999999999,0.5870000000000001,0.9790000000000001,63188.0,0.34700000000000003,0.298,17254752.0,7.91,141.18,979150.0
Mahadevapura,519993.0,516186.0,422924.0,197874.0,195067.0,116959.0,0.993,0.8190000000000001,0.46799999999999997,0.986,78061.0,0.4,0.225,18052185.0,7.57,137.16,1018123.0
Belathur,473171.0,468835.0,359181.0,189652.0,186679.0,115788.0,0.991,0.7659999999999999,0.528,0.9840000000000001,70818.0,0.379,0.245,19751448.0,8.71,153.6,1138460.0
Rupenaagrahara,468424.0,464133.0,386058.0,195007.0,190728.0,111611.0,0.991,0.8320000000000001,0.505,0.978,79081.0,0.415,0.23800000000000002,16717199.0,7.96,142.96,948513.0
Byatarayanapura,326788.0,324286.0,247453.0,172205.0,168796.0,110246.0,0.992,0.763,0.696,0.98,58518.0,0.34700000000000003,0.337,17387578.0,8.48,148.43,1012272.0
Jogupalya,352576.0,349570.0,298481.0,165972.0,163111.0,108242.0,0.992,0.8540000000000001,0.556,0.983,54840.0,0.336,0.307,13870184.0,6.39,118.33,764262.0
Hemmigepura,324225.0,318922.0,224149.0,161678.0,158827.0,106777.0,0.9840000000000001,0.703,0.721,0.982,52002.0,0.327,0.32899999999999996,15755609.0,8.48,146.23,924865.0
Babusab Palya,387542.0,384927.0,315006.0,171652.0,168721.0,105895.0,0.993,0.818,0.545,0.983,62790.0,0.37200000000000005,0.273,15117374.0,7.23,131.09,854485.0
Kogilu,323620.0,320789.0,221308.0,164071.0,159915.0,104384.0,0.991,0.69,0.741,0.975,55521.0,0.34700000000000003,0.32299999999999995,20501848.0,11.34,190.25,1229470.0
Konena Agrahara,398931.0,395259.0,335826.0,162443.0,159894.0,102850.0,0.991,0.85,0.484,0.9840000000000001,57016.0,0.35700000000000004,0.258,15286571.0,8.17,146.2,859142.0
Konanakunte,288519.0,286472.0,217972.0,158009.0,154765.0,101021.0,0.993,0.7609999999999999,0.725,0.9790000000000001,53684.0,0.34700000000000003,0.35,12839437.0,6.87,122.45,720459.0
Sunkenahalli,266613.0,264632.0,207272.0,151687.0,148854.0,100920.0,0.993,0.7829999999999999,0.732,0.981,47886.0,0.322,0.379,12127955.0,6.41,114.38,686467.0
Kadu Malleshwara,234374.0,232026.0,177602.0,142192.0,139524.0,100728.0,0.99,0.765,0.8009999999999999,0.981,38757.0,0.278,0.43,12911553.0,7.26,127.05,743775.0
Subhash Nagar,312008.0,308910.0,215494.0,163133.0,160185.0,96108.0,0.99,0.698,0.757,0.982,64030.0,0.4,0.308,15244495.0,8.63,153.3,865902.0
Radhakrishna Temple Ward,235760.0,234113.0,181242.0,142398.0,138698.0,94980.0,0.993,0.774,0.7859999999999999,0.9740000000000001,43684.0,0.315,0.40299999999999997,13095032.0,7.4,130.61,749821.0
Amrutahalli,290243.0,288253.0,221378.0,144297.0,141512.0,90988.0,0.993,0.768,0.652,0.981,50503.0,0.35700000000000004,0.314,14484899.0,8.49,149.11,840939.0
Nagapura,224785.0,222670.0,157606.0,134768.0,132094.0,90419.0,0.991,0.708,0.855,0.98,41635.0,0.315,0.402,11369271.0,6.8,120.42,647417.0
Lingarajapura,247617.0,246121.0,206967.0,134855.0,133228.0,89020.0,0.9940000000000001,0.841,0.652,0.988,44176.0,0.332,0.359,11030167.0,6.22,115.48,611475.0
Devasandra,328961.0,326957.0,269416.0,153505.0,151453.0,88876.0,0.9940000000000001,0.8240000000000001,0.57,0.987,62507.0,0.413,0.27,14425616.0,7.7,139.96,793244.0
Arakere,297635.0,295178.0,236337.0,134482.0,131785.0,88063.0,0.992,0.8009999999999999,0.569,0.98,43700.0,0.332,0.29600000000000004,12750606.0,7.82,139.77,726830.0
Bilekhalli,341292.0,337884.0,279585.0,138524.0,135758.0,86611.0,0.99,0.8270000000000001,0.495,0.98,49113.0,0.36200000000000004,0.254,12355272.0,8.19,144.87,696746.0
Lal Bahadur Nagar,298439.0,296273.0,233434.0,130990.0,128841.0,85453.0,0.993,0.7879999999999999,0.561,0.9840000000000001,43354.0,0.337,0.28600000000000003,11787280.0,7.19,129.9,663330.0
Hombegowda Nagara,297006.0,295059.0,242405.0,134879.0,132613.0,84882.0,0.993,0.8220000000000001,0.556,0.983,47700.0,0.36,0.28600000000000003,10291927.0,6.4,119.14,572545.0
Sanjaya Nagar,232325.0,230554.0,173003.0,126576.0,123907.0,84364.0,0.992,0.75,0.732,0.9790000000000001,39515.0,0.319,0.363,11950621.0,7.31,130.66,690457.0
Jalakanteshwara Nagara,341355.0,338254.0,285154.0,127964.0,126460.0,84108.0,0.991,0.843,0.449,0.988,42323.0,0.335,0.24600000000000002,12321916.0,8.16,146.14,690292.0
Subramanya Nagar,227183.0,224956.0,167526.0,134840.0,132053.0,84018.0,0.99,0.745,0.805,0.9790000000000001,47975.0,0.363,0.37,11620465.0,7.33,130.39,658156.0
A Narayanapura,380520.0,378236.0,297503.0,150915.0,148604.0,83641.0,0.9940000000000001,0.787,0.507,0.985,64929.0,0.43700000000000006,0.22,12960687.0,7.84,144.2,724832.0
Dharmaraya Swamy Temple Ward,366440.0,364066.0,297903.0,156645.0,154173.0,81338.0,0.9940000000000001,0.818,0.526,0.9840000000000001,72800.0,0.47200000000000003,0.222,11791632.0,8.25,144.28,677451.0
Ganesh Mandir ward,194825.0,193315.0,148871.0,117351.0,115021.0,81053.0,0.992,0.77,0.7879999999999999,0.98,33945.0,0.295,0.41600000000000004,9225801.0,6.34,114.06,518193.0
Maruthi Seva Nagar,242742.0,241202.0,199286.0,122196.0,120619.0,77966.0,0.9940000000000001,0.826,0.613,0.987,42616.0,0.353,0.321,10465501.0,6.83,125.11,588080.0
Yediyur,217584.0,215964.0,173558.0,116380.0,114022.0,77289.0,0.993,0.804,0.6709999999999999,0.98,36701.0,0.322,0.355,9336611.0,6.16,111.86,524159.0
RBI layout,238409.0,236384.0,191958.0,114847.0,112912.0,75034.0,0.992,0.812,0.598,0.983,37859.0,0.335,0.315,10308499.0,7.74,138.01,586125.0
Basavanagudi,186676.0,185269.0,141789.0,107661.0,105222.0,74855.0,0.993,0.765,0.759,0.977,30342.0,0.28800000000000003,0.401,8739365.0,5.93,106.91,494307.0
Ashoka Pillar,240165.0,238394.0,193374.0,116459.0,114382.0,74768.0,0.993,0.8109999999999999,0.602,0.982,39588.0,0.34600000000000003,0.311,8892465.0,6.24,113.58,495915.0
Shanthi Nagar,295377.0,293117.0,250398.0,119619.0,117491.0,74214.0,0.992,0.8540000000000001,0.478,0.982,43247.0,0.368,0.251,8832651.0,6.12,113.8,489106.0
Hebbala,210018.0,208859.0,160264.0,113237.0,111227.0,74191.0,0.995,0.767,0.7070000000000001,0.982,37015.0,0.33299999999999996,0.353,10451800.0,7.18,128.16,600960.0
Jakkasandra,293539.0,290421.0,234646.0,122559.0,120381.0,71542.0,0.9890000000000001,0.8079999999999999,0.522,0.982,48812.0,0.406,0.244,10009357.0,7.65,137.15,561808.0
Vasanthpura,197481.0,195766.0,146501.0,106645.0,104593.0,71270.0,0.991,0.748,0.728,0.981,33305.0,0.318,0.361,9166566.0,7.22,127.94,522826.0
Chatrapati Shivaji,246998.0,245430.0,168460.0,123534.0,121287.0,70969.0,0.9940000000000001,0.6859999999999999,0.733,0.982,50282.0,0.415,0.287,11852321.0,10.02,176.51,684706.0
Ganga Nagar,188574.0,187413.0,143991.0,105956.0,103887.0,70862.0,0.9940000000000001,0.768,0.736,0.98,33000.0,0.318,0.376,9141119.0,6.67,120.88,517686.0
Veeramadakari,220637.0,219153.0,162699.0,111091.0,108624.0,70763.0,0.993,0.742,0.6829999999999999,0.978,37831.0,0.348,0.321,9332952.0,7.09,125.9,537835.0
Kodigehalli,196145.0,194961.0,149308.0,107883.0,105725.0,70564.0,0.9940000000000001,0.7659999999999999,0.723,0.98,35140.0,0.332,0.36,10230486.0,7.6,133.63,593640.0
Chunchaghatta,217645.0,215880.0,168160.0,102629.0,100846.0,69785.0,0.992,0.779,0.61,0.983,31050.0,0.308,0.321,9809361.0,8.04,142.83,561909.0
Girinagar,151298.0,150124.0,109429.0,94526.0,92674.0,68559.0,0.992,0.7290000000000001,0.8640000000000001,0.98,24098.0,0.26,0.45299999999999996,8120554.0,6.16,110.86,464514.0
Vidyaranyapura,162334.0,161161.0,115878.0,94688.0,92989.0,68434.0,0.993,0.7190000000000001,0.8170000000000001,0.982,24532.0,0.264,0.42200000000000004,10260458.0,8.23,142.87,601776.0
Puttenahalli - Sarakki Lake,207078.0,205166.0,162436.0,105664.0,103627.0,68322.0,0.991,0.792,0.65,0.981,35287.0,0.341,0.33,8925759.0,6.89,124.26,502544.0
Vijnana Nagar,284810.0,282184.0,236325.0,102203.0,100939.0,67616.0,0.991,0.8370000000000001,0.433,0.988,33306.0,0.33,0.237,10484765.0,8.31,148.27,591561.0
Ramamurthy Nagara,232429.0,231146.0,181021.0,102245.0,100972.0,66479.0,0.995,0.7829999999999999,0.565,0.988,34467.0,0.341,0.28600000000000003,9319066.0,7.22,130.58,526973.0
Kacharkanahalli,191730.0,190608.0,151235.0,100993.0,99607.0,65419.0,0.9940000000000001,0.7929999999999999,0.6679999999999999,0.986,34157.0,0.34299999999999997,0.341,8339738.0,6.79,123.42,468312.0
New Bayappanahalli,254107.0,252254.0,209679.0,108901.0,107300.0,65408.0,0.993,0.831,0.519,0.985,41874.0,0.39,0.257,8828102.0,6.72,121.67,495902.0
Uttarahalli,186490.0,185055.0,140087.0,98160.0,95735.0,65255.0,0.992,0.757,0.701,0.975,30463.0,0.318,0.35,8320142.0,7.63,135.69,473598.0
Begur,265563.0,263194.0,209042.0,106436.0,104409.0,65013.0,0.991,0.794,0.509,0.981,39383.0,0.377,0.245,10898601.0,9.51,165.47,632169.0
Kaval Bairasandra,193601.0,192567.0,152405.0,97995.0,96136.0,63841.0,0.995,0.7909999999999999,0.643,0.981,32275.0,0.336,0.33,8533133.0,6.86,124.91,483576.0
Malleswaram,166854.0,165380.0,122220.0,93842.0,91944.0,63512.0,0.991,0.7390000000000001,0.768,0.98,28406.0,0.309,0.381,7687376.0,6.73,120.55,436550.0
Varthuru,402250.0,390539.0,324590.0,105265.0,103606.0,62888.0,0.971,0.831,0.324,0.9840000000000001,40705.0,0.39299999999999996,0.156,12961411.0,10.96,190.49,759723.0
Hagadur,278239.0,274893.0,217235.0,104341.0,102653.0,62887.0,0.988,0.79,0.48,0.9840000000000001,39751.0,0.387,0.226,11127797.0,8.77,153.23,643245.0
Padmanabha Nagar,158399.0,157105.0,120091.0,90719.0,88380.0,62331.0,0.992,0.764,0.755,0.9740000000000001,26035.0,0.295,0.39399999999999996,7340332.0,6.31,113.41,414667.0
Chamrajapet,200517.0,198991.0,150994.0,104756.0,102838.0,61777.0,0.992,0.759,0.6940000000000001,0.982,41031.0,0.39899999999999997,0.308,7786960.0,6.75,120.21,445176.0
Umamaheshwara Ward,164543.0,163007.0,125458.0,91960.0,89945.0,61347.0,0.991,0.77,0.733,0.978,28580.0,0.318,0.373,7419194.0,5.88,107.51,418110.0
Yelahanka Satellite Town,169746.0,168473.0,120260.0,96807.0,95135.0,61324.0,0.993,0.7140000000000001,0.805,0.983,33788.0,0.355,0.361,9808967.0,8.69,149.5,577463.0
Anjanapura,181644.0,179006.0,135191.0,91485.0,88729.0,60694.0,0.986,0.755,0.677,0.97,28021.0,0.316,0.33399999999999996,9140657.0,8.31,144.46,531947.0
Jayachamarajendra  Nagar,167767.0,166630.0,130339.0,90839.0,89181.0,60216.0,0.993,0.782,0.6970000000000001,0.982,28949.0,0.325,0.359,7887322.0,6.65,120.71,447086.0
Jayamahal,199847.0,198600.0,154332.0,96533.0,95354.0,57697.0,0.9940000000000001,0.777,0.625,0.988,37629.0,0.395,0.289,8178556.0,7.08,130.82,449166.0
Shettihalli,172369.0,170961.0,121801.0,87975.0,86145.0,56658.0,0.992,0.7120000000000001,0.722,0.9790000000000001,29465.0,0.342,0.32899999999999996,7692274.0,7.57,131.12,450388.0
Lakkasandra,244683.0,242974.0,202937.0,96480.0,94954.0,56502.0,0.993,0.835,0.475,0.9840000000000001,38431.0,0.405,0.231,7361671.0,6.97,126.23,413147.0
Dattatreya Temple,139810.0,138323.0,104347.0,81795.0,80384.0,56306.0,0.9890000000000001,0.754,0.784,0.983,24051.0,0.299,0.40299999999999997,7092611.0,6.58,118.04,404266.0
Medahalli,210416.0,208912.0,160872.0,89864.0,88720.0,56103.0,0.993,0.77,0.5589999999999999,0.987,32596.0,0.36700000000000005,0.267,9502663.0,8.86,157.11,552030.0
K R Puram,246849.0,245151.0,181931.0,96758.0,95586.0,55788.0,0.993,0.742,0.532,0.988,39775.0,0.41600000000000004,0.226,8730663.0,8.15,144.68,501154.0
Garudachar Playa,233812.0,232336.0,191372.0,97957.0,96448.0,55750.0,0.9940000000000001,0.8240000000000001,0.512,0.985,40674.0,0.42200000000000004,0.23800000000000002,9038348.0,8.3,147.09,510788.0
Katriguppe,136402.0,135253.0,100769.0,81074.0,79166.0,55446.0,0.992,0.745,0.805,0.976,23701.0,0.299,0.406,6475234.0,6.52,117.47,366779.0
Devarachikkanahalli,226563.0,224459.0,181209.0,88766.0,87174.0,55262.0,0.991,0.807,0.49,0.982,31900.0,0.366,0.244,8343832.0,8.29,147.16,475621.0
Kempegowda Ward,223033.0,220550.0,158743.0,91311.0,89805.0,54974.0,0.9890000000000001,0.72,0.575,0.9840000000000001,34816.0,0.38799999999999996,0.24600000000000002,9949162.0,9.86,168.46,592827.0
Neelasandra,220700.0,219466.0,187313.0,90231.0,88979.0,54805.0,0.9940000000000001,0.853,0.48200000000000004,0.986,34144.0,0.384,0.248,6463739.0,5.83,110.57,352007.0
Kumaraswamy Layout,143853.0,142737.0,105455.0,82322.0,80684.0,54590.0,0.992,0.7390000000000001,0.7809999999999999,0.98,26080.0,0.32299999999999995,0.38,6371132.0,6.39,114.23,358192.0
Thanisandra,155904.0,155006.0,113130.0,84772.0,82935.0,54435.0,0.9940000000000001,0.73,0.7490000000000001,0.978,28487.0,0.344,0.349,8798989.0,8.64,150.7,514432.0
Attiguppe,122277.0,121113.0,83123.0,74314.0,72200.0,52845.0,0.991,0.6859999999999999,0.894,0.972,19332.0,0.268,0.43200000000000005,6467725.0,6.97,123.87,369824.0
Ramaswamy Palya,158326.0,157576.0,131163.0,78156.0,76894.0,52575.0,0.995,0.8320000000000001,0.596,0.9840000000000001,24304.0,0.316,0.332,6218113.0,6.07,112.24,344823.0
Sudham Nagara,207651.0,206119.0,168626.0,88531.0,86990.0,51838.0,0.993,0.818,0.525,0.983,35118.0,0.40399999999999997,0.25,7147733.0,7.44,132.63,406732.0
Kanneshwara Rama,137753.0,136778.0,102151.0,76606.0,75289.0,50824.0,0.993,0.747,0.75,0.983,24444.0,0.325,0.369,6666800.0,7.24,126.82,383834.0
Gurappanapalya,219358.0,217350.0,175884.0,97073.0,95401.0,50729.0,0.991,0.809,0.552,0.983,44650.0,0.46799999999999997,0.231,6598625.0,6.94,126.23,366661.0
Basavanapura,221845.0,220103.0,169213.0,83635.0,82367.0,50465.0,0.992,0.769,0.494,0.985,31894.0,0.387,0.228,8871533.0,9.62,168.17,516880.0
Kudlu,236803.0,234065.0,197098.0,81672.0,80368.0,50108.0,0.988,0.8420000000000001,0.414,0.9840000000000001,30253.0,0.376,0.212,8378598.0,9.02,159.12,480351.0
Sir M. Vishweshwaraiah,118310.0,117288.0,78883.0,70564.0,68993.0,49703.0,0.991,0.6729999999999999,0.895,0.978,19275.0,0.27899999999999997,0.42,7042823.0,7.65,131.9,416894.0
Mattikere,127532.0,126489.0,91822.0,74048.0,72560.0,49681.0,0.992,0.726,0.8059999999999999,0.98,22863.0,0.315,0.39,6240282.0,6.83,121.59,355613.0
Someshwara Ward,135715.0,134750.0,93900.0,74919.0,73572.0,49328.0,0.993,0.6970000000000001,0.7979999999999999,0.982,24230.0,0.32899999999999996,0.364,8645725.0,9.86,167.44,516119.0
Kuvempunagar,146326.0,145244.0,105110.0,75973.0,74164.0,49239.0,0.993,0.7240000000000001,0.723,0.976,24917.0,0.336,0.337,7473265.0,8.65,148.64,440698.0
Someshwara Nagar,202532.0,201374.0,160896.0,84826.0,83617.0,48356.0,0.9940000000000001,0.799,0.527,0.986,35234.0,0.42100000000000004,0.239,6948587.0,7.55,133.6,398478.0
Nalvadi Krishnaraja Wadior Park,115514.0,114506.0,75953.0,68469.0,66856.0,48127.0,0.991,0.6629999999999999,0.9009999999999999,0.976,18727.0,0.28,0.41700000000000004,7063617.0,8.19,140.92,418340.0
Vishwanath Nagenahalli,154030.0,153201.0,118304.0,73656.0,72720.0,47891.0,0.995,0.772,0.623,0.987,24812.0,0.341,0.311,6530937.0,6.53,119.33,370828.0
HAL Airport,211250.0,209175.0,169890.0,75050.0,74006.0,47030.0,0.99,0.812,0.442,0.986,26966.0,0.364,0.223,7494305.0,8.55,151.55,428553.0
Vikram Nagar,119772.0,118755.0,89035.0,66520.0,64768.0,45251.0,0.992,0.75,0.747,0.9740000000000001,19502.0,0.301,0.37799999999999995,5800764.0,7.24,129.76,330132.0
Dodda Bommasandra,133094.0,132125.0,96560.0,68415.0,67164.0,44788.0,0.993,0.731,0.7090000000000001,0.982,22363.0,0.33299999999999996,0.337,6400370.0,8.04,140.8,373067.0
Hanumanth Nagar,111343.0,110436.0,78939.0,63637.0,62055.0,44418.0,0.992,0.715,0.8059999999999999,0.975,17619.0,0.284,0.39899999999999997,5196937.0,6.75,118.14,294931.0
Rajamahal Guttahalli,117569.0,116512.0,90080.0,64358.0,63260.0,44403.0,0.991,0.773,0.715,0.983,18841.0,0.298,0.37799999999999995,5386551.0,6.3,113.9,304299.0
Gottigere,122130.0,121067.0,86790.0,66013.0,64702.0,44306.0,0.991,0.7170000000000001,0.7609999999999999,0.98,20384.0,0.315,0.363,6970268.0,9.04,155.56,405976.0
Okalipuram,138471.0,137027.0,105136.0,78599.0,77551.0,44243.0,0.99,0.767,0.748,0.987,33277.0,0.429,0.319,6159044.0,6.79,122.73,345240.0
Bande Mutt,148773.0,147190.0,93694.0,68336.0,66875.0,43599.0,0.9890000000000001,0.637,0.7290000000000001,0.9790000000000001,23253.0,0.348,0.293,6521990.0,8.47,149.11,383759.0
Hosakerehalli,117622.0,116813.0,85572.0,69348.0,67711.0,43458.0,0.993,0.733,0.81,0.976,24243.0,0.358,0.37,5569815.0,7.32,129.03,321161.0
Sriramamandir,103115.0,102017.0,73067.0,62026.0,60894.0,43222.0,0.9890000000000001,0.716,0.8490000000000001,0.982,17655.0,0.29,0.419,5402455.0,6.58,117.45,311932.0
Chokkasandra,151979.0,151264.0,115735.0,74256.0,73111.0,43081.0,0.995,0.765,0.642,0.985,30011.0,0.41,0.28300000000000003,4369042.0,5.01,96.47,237432.0
